# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.333223 0.324028 -0.212165 -0.859624 -0.557878 0.312476 0.682124 | 5.952409 -0.849915 -3.970253 2.816185 3.104241 0.428459 -4.387924 3
0.177525 -0.231403 0.129043 0.947779 0.290159 0.229412 0.902387 | -6.024913 0.534552 -1.456978 3.404610 4.246638 0.800349 -3.648726 1
0.617322 0.771079 0.016854 -0.155132 -0.179875 -0.005013 0.248810 | 0.258272 1.919018 1.056296 -0.041883 5.389035 1.172238 -2.909527 1
0.848120 -0.052878 -0.235563 0.471600 -0.116044 0.112375 0.046522 | -2.883321 -1.619063 3.569570 0.546543 -5.931084 1.544128 -2.170329 2
0.284800 0.507053 -0.470885 0.663365 -0.364186 -0.126562 0.558597 | 3.399865 -0.234597 6.082844 1.134968 -4.788686 1.916017 -1.431131 2
0.648730 -0.079406 0.029562 0.756287 -0.342713 0.535834 0.204372 | -4.454117 1.149870 -5.880341 1.723394 -3.646289 2.287906 -0.691932 1
0.598786 -0.122156 -0.343244 -0.713243 0.061062 -0.621541 0.389183 | 1.829068 -1.157574 -3.367067 2.311820 -2.503892 2.659796 0.047266 3
0.135530 -0.537775 -0.811567 -0.183816 -0.068865 -0.119835 0.813183 | -1.312524 0.226892 -0.853793 2.900245 -1.361494 3.031685 0.786464 1
0.017575 -0.653302 -0.075432 0.753125 -0.083389 -0.536422 0.251114 | 4.970661 1.611359 1.659482 3.488671 -0.219097 -1.402381 1.525662 0
0.066960 0.545474 0.817384 -0.172792 0.051361 -0.182928 0.120573 | -5.239515 -0.696085 4.172756 0.042178 0.923300 -1.030492 2.264861 2
0.049625 0.055412 0.994860 -0.068710 -0.037635 0.258341 0.104371 | 1.043670 0.688381 -5.377686 0.630603 2.065698 -0.658602 3.004059 0
0.695948 -0.043091 -0.136116 -0.703755 -0.265449 -0.207545 0.568688 | -2.097922 2.072848 -2.864412 1.219029 3.208095 -0.286713 3.743257 0
0.232699 -0.078989 -0.392573 -0.886283 0.215188 0.575418 0.496239 | 4.185263 -2.012183 -0.351138 1.807455 4.350492 0.085177 4.482455 0
0.732102 0.586088 0.188580 -0.291487 0.361558 -0.483765 0.725932 | -3.668719 -0.627717 2.162136 2.395880 5.492890 0.457066 5.221654 2
0.285911 -0.150297 -0.611744 -0.722104 -0.421760 0.322792 0.815640 | 2.614467 0.756750 4.675410 2.984306 -5.827229 0.828956 5.960852 2
0.167925 -0.260253 -0.950236 -0.033489 -0.675822 0.168939 0.184830 | -0.527126 -1.550695 -4.875031 3.572732 -4.684832 1.200845 -5.822838 3
0.600382 0.650478 -0.223121 -0.408212 -0.236292 -0.113961 0.139981 | 5.756059 -0.166228 -2.361757 0.126238 -3.542435 1.572734 -5.083640 3
0.430724 0.554191 0.491548 0.515490 0.213697 0.144220 -0.098164 | -5.632214 1.218239 0.151517 0.714664 -2.400037 1.944624 -4.344442 1
0.622888 -0.257866 -0.138462 -0.725496 -0.446970 0.011375 0.125116 | 0.650971 -1.089206 2.664791 1.303090 -1.257640 2.316513 -3.605243 2
0.126493 -0.790470 0.393516 -0.451998 -0.373824 0.100532 0.564119 | -2.490622 0.295261 5.178065 1.891516 -0.115243 2.688403 -2.866045 2
0.226121 -0.013338 0.720502 0.655415 -0.328050 -0.433573 0.338093 | 3.792564 1.679728 -4.372376 2.479941 1.027155 3.060292 -2.126847 1
0.119931 -0.223609 0.959904 0.119166 0.343115 -0.401252 0.003053 | -4.061418 -1.858354 -1.859102 3.068367 2.169552 -1.373774 -1.387648 3
0.417560 -0.021639 -0.214547 0.882692 0.226507 -0.251588 0.770715 | 2.221767 -0.473887 0.654172 3.656793 3.311949 -1.001885 -0.648450 2
0.345426 0.493943 -0.710795 -0.362590 -0.190627 0.053582 0.364754 | -0.919825 0.910580 3.167446 0.210299 4.454347 -0.629995 0.090748 2
0.257263 0.180985 -0.362290 0.877386 -0.189399 -0.095247 0.693045 | 5.363360 -1.396865 5.680720 0.798725 5.596744 -0.258106 0.829946 2
0.070791 -0.506154 -0.621688 0.593549 -0.415212 -0.314206 0.603683 | -4.846816 -0.012398 -3.869722 1.387151 -5.723375 0.113784 1.569145 3
0.484237 -0.373581 0.790187 0.039448 0.513203 0.483781 0.301562 | 1.436369 1.372068 -1.356447 1.975576 -4.580978 0.485673 2.308343 0
0.312518 -0.231822 0.536837 0.748597 0.276672 0.510640 0.770449 | -1.705223 -0.935376 1.156827 2.564002 -3.438580 0.857563 3.047541 2
0.738864 0.441563 0.444957 0.247214 0.031390 -0.362817 0.915258 | 4.577962 0.449091 3.670101 3.152428 -2.296183 1.229452 3.786739 2
0.383884 -0.525417 0.612558 0.448712 -0.636127 0.155790 0.320300 | -3.276020 1.833557 6.183375 3.740854 -1.153786 1.601341 4.525938 0
0.002294 0.424282 -0.905305 -0.020038 -0.060108 0.006942 0.397645 | 3.007166 -1.704524 -6.262359 0.294360 -0.011388 1.973231 5.265136 3
0.327504 0.232494 0.556916 -0.727002 -0.328619 0.138525 0.262119 | -0.134427 -0.320057 -3.749084 0.882786 1.131009 2.345120 6.004334 3
0.738550 -0.487517 0.423569 0.193548 0.409559 -0.362465 0.297001 | 6.148758 1.064409 -1.235810 1.471212 2.273406 2.717010 -5.779356 1
0.337708 0.109473 0.820833 -0.447438 -0.516175 0.104051 0.517852 | -6.123088 -1.243035 1.277464 2.059637 3.415804 3.088899 -5.040158 2
0.570293 0.678929 -0.065658 0.457723 0.066115 -0.162016 0.844309 | 0.160097 0.141431 3.790738 2.648063 4.558201 -1.345167 -4.300959 2
0.158664 -0.218030 -0.086113 0.959100 -0.595987 -0.075309 0.465261 | -2.981495 1.525898 -5.759704 3.236489 5.700598 -0.973278 -3.561761 1
0.836872 0.050640 -0.232644 0.492907 0.112235 -0.021009 0.836436 | 3.301690 -0.781546 -3.246430 3.824914 -5.619521 -0.601388 -2.822563 3
0.305139 0.742101 0.594528 0.052075 0.229370 0.101286 0.130317 | -4.552292 0.602920 -0.733155 0.378421 -4.477123 -0.229499 -2.083364 1
0.343804 0.556674 0.049608 -0.754620 -0.432286 0.010418 0.317518 | 1.730894 1.987387 1.780119 0.966847 -3.334726 0.142391 -1.344166 1
